track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,stream_class
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1.0,2022.0,8.0,19.0,3430.0,38.0,601863821.0,45.0,69.0,52.0,4.0,3.0,95.0,F,Major,87.0,57.0,55.0,10.0,0.0,29.0,7.0,Average
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3.0,2011.0,8.0,16.0,6074.0,52.0,1953533826.0,201.0,44.0,6551.0,2.0,0.0,146.0,D,Major,63.0,88.0,93.0,3.0,0.0,10.0,8.0,High
lovely - Bonus Track,"Billie Eilish, Khalid",2.0,2017.0,8.0,11.0,15032.0,30.0,2355719893.0,221.0,96.0,1078.0,2.0,136.0,115.0,E,Minor,35.0,12.0,30.0,93.0,0.0,10.0,3.0,High
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2.0,2023.0,6.0,21.0,871.0,32.0,66902503.0,25.0,59.0,32.0,5.0,88.0,128.0,B,Major,78.0,59.0,65.0,10.0,0.0,26.0,5.0,Low
Queencard,(G)I-DLE,1.0,2023.0,5.0,15.0,451.0,33.0,96273746.0,10.0,126.0,7.0,0.0,148.0,130.0,E,Minor,82.0,69.0,83.0,3.0,0.0,27.0,5.0,Low
OMG,NewJeans,1.0,2023.0,1.0,2.0,1783.0,27.0,430977451.0,26.0,124.0,15.0,1.0,22.0,127.0,A,Minor,80.0,74.0,77.0,36.0,0.0,11.0,4.0,Average
Radio,Lana Del Rey,1.0,2011.0,1.0,1.0,9389.0,46.0,284819874.0,24.0,122.0,282.0,3.0,368.0,150.0,D,Major,42.0,20.0,86.0,21.0,0.0,9.0,9.0,Average
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2.0,2023.0,1.0,11.0,5724.0,44.0,721975598.0,119.0,108.0,254.0,29.0,22.0,122.0,D,Minor,78.0,50.0,63.0,27.0,0.0,9.0,5.0,High
505,Arctic Monkeys,1.0,2007.0,4.0,20.0,13985.0,25.0,1217120710.0,30.0,80.0,588.0,1.0,1.0,140.0,nan,Major,52.0,20.0,85.0,0.0,0.0,7.0,5.0,High
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4.0,2023.0,6.0,2.0,1051.0,16.0,109276132.0,31.0,37.0,31.0,0.0,189.0,140.0,nan,Major,63.0,22.0,54.0,46.0,0.0,12.0,8.0,Low
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3.0,2022.0,12.0,2.0,1682.0,46.0,276259178.0,24.0,90.0,30.0,1.0,176.0,119.0,C#,Minor,75.0,48.0,53.0,18.0,0.0,18.0,34.0,Average
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5.0,2023.0,5.0,22.0,182.0,8.0,54225632.0,3.0,88.0,1.0,0.0,52.0,110.0,G,Minor,76.0,96.0,72.0,32.0,0.0,9.0,4.0,Low
Perfect,Ed Sheeran,1.0,2017.0,1.0,1.0,16596.0,13.0,2559529074.0,7.0,0.0,2094.0,0.0,0.0,95.0,G#,Major,60.0,17.0,45.0,16.0,0.0,11.0,2.0,High
Romantic Homicide,d4vd,1.0,2022.0,7.0,20.0,2335.0,23.0,681583126.0,82.0,55.0,50.0,0.0,9.0,132.0,F#,Major,56.0,20.0,55.0,45.0,1.0,32.0,3.0,Average
Believer,Imagine Dragons,1.0,2017.0,1.0,31.0,18986.0,23.0,2594040133.0,250.0,121.0,2969.0,10.0,31.0,125.0,A#,Minor,77.0,74.0,78.0,4.0,0.0,23.0,11.0,High
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4.0,2023.0,5.0,19.0,283.0,7.0,81102253.0,6.0,9.0,26.0,1.0,66.0,124.0,D#,Minor,84.0,65.0,50.0,67.0,0.0,13.0,6.0,Low
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2.0,2023.0,6.0,1.0,293.0,8.0,11956641.0,5.0,2.0,30.0,2.0,66.0,133.0,B,Minor,93.0,68.0,65.0,42.0,0.0,12.0,25.0,Low
Without Me,Eminem,1.0,2002.0,1.0,1.0,21081.0,43.0,1687664027.0,98.0,76.0,3889.0,5.0,0.0,112.0,G,Major,92.0,67.0,66.0,0.0,0.0,36.0,9.0,High
QUEMA,"Sog, Ryan Castro, Peso Pluma",3.0,2023.0,7.0,13.0,437.0,31.0,11599388.0,17.0,29.0,26.0,3.0,208.0,97.0,nan,Major,79.0,92.0,89.0,5.0,0.0,6.0,5.0,Low
Stargirl Interlude,"The Weeknd, Lana Del Rey",2.0,2016.0,11.0,24.0,1275.0,32.0,611700552.0,13.0,8.0,5.0,0.0,1.0,90.0,F,Minor,59.0,52.0,48.0,38.0,5.0,10.0,11.0,Average
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2.0,2022.0,5.0,6.0,6135.0,38.0,1133865788.0,71.0,113.0,99.0,13.0,28.0,80.0,D#,Minor,65.0,27.0,69.0,8.0,0.0,53.0,4.0,High
Somewhere Only We Know,Keane,1.0,2004.0,1.0,1.0,20015.0,16.0,1089402494.0,107.0,69.0,5239.0,0.0,558.0,172.0,A,Major,45.0,33.0,59.0,6.0,0.0,8.0,3.0,High
Those Eyes,New West,1.0,2019.0,5.0,10.0,1507.0,14.0,411747614.0,24.0,71.0,44.0,1.0,195.0,120.0,E,Major,60.0,24.0,35.0,73.0,0.0,31.0,3.0,Average
El Gordo Trae El Mando,Chino Pacas,1.0,2023.0,1.0,27.0,539.0,21.0,255932395.0,7.0,71.0,4.0,2.0,13.0,140.0,G,Minor,74.0,96.0,80.0,18.0,0.0,5.0,5.0,Average
Mi Bello Angel,Natanael Cano,1.0,2023.0,6.0,30.0,86.0,8.0,31873544.0,7.0,76.0,3.0,1.0,93.0,128.0,A,Minor,81.0,90.0,77.0,1.0,0.0,9.0,5.0,Low
Bye,Peso Pluma,1.0,2023.0,5.0,26.0,324.0,14.0,95053634.0,13.0,110.0,8.0,2.0,60.0,122.0,nan,Major,78.0,70.0,81.0,57.0,0.0,10.0,5.0,Low
Danza Kuduro,"Don Omar, Lucenzo",2.0,2010.0,1.0,1.0,17138.0,37.0,1279434863.0,119.0,81.0,974.0,1.0,503.0,130.0,nan,Major,47.0,86.0,92.0,8.0,0.0,5.0,24.0,High
Nosso Quadro,"Ana Castela, AgroPlay",2.0,2023.0,2.0,2.0,894.0,9.0,233801632.0,14.0,88.0,66.0,3.0,72.0,160.0,A,Major,69.0,61.0,71.0,33.0,0.0,31.0,20.0,Low
Locked Out Of Heaven,Bruno Mars,1.0,2012.0,12.0,5.0,1622.0,9.0,1481349984.0,0.0,0.0,356.0,0.0,0.0,144.0,F,Major,73.0,87.0,70.0,6.0,0.0,28.0,5.0,High
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3.0,2023.0,4.0,4.0,561.0,14.0,142095275.0,4.0,14.0,12.0,5.0,56.0,192.0,B,Major,50.0,85.0,52.0,11.0,0.0,28.0,6.0,Low
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2.0,2022.0,6.0,17.0,5871.0,27.0,618885532.0,81.0,121.0,58.0,1.0,34.0,163.0,nan,Major,54.0,40.0,67.0,0.0,0.0,9.0,17.0,Average
Counting Stars,OneRepublic,1.0,2013.0,1.0,1.0,29215.0,43.0,2011464183.0,179.0,97.0,3394.0,11.0,153.0,122.0,C#,Minor,66.0,48.0,71.0,6.0,0.0,12.0,4.0,High
PRC,"Natanael Cano, Peso Pluma",2.0,2023.0,1.0,23.0,961.0,26.0,436027885.0,19.0,143.0,10.0,6.0,15.0,138.0,G,Minor,78.0,89.0,83.0,10.0,0.0,12.0,5.0,Average
Gasolina,Daddy Yankee,1.0,2004.0,7.0,13.0,6457.0,18.0,657723613.0,98.0,95.0,453.0,0.0,454.0,96.0,nan,Major,86.0,74.0,80.0,33.0,0.0,8.0,6.0,Average
One Dance,"Drake, WizKid, Kyla",3.0,2016.0,4.0,4.0,43257.0,24.0,2713922350.0,433.0,107.0,3631.0,0.0,26.0,104.0,C#,Major,77.0,36.0,63.0,1.0,0.0,36.0,5.0,High
Enchanted,Taylor Swift,1.0,2010.0,1.0,1.0,4564.0,16.0,621660989.0,24.0,101.0,113.0,0.0,40.0,164.0,G#,Major,45.0,24.0,62.0,8.0,0.0,16.0,3.0,Average
Save Your Tears,The Weeknd,1.0,2020.0,3.0,20.0,12688.0,13.0,1591223784.0,197.0,115.0,112.0,0.0,200.0,118.0,nan,Major,68.0,61.0,82.0,2.0,0.0,50.0,3.0,High
Sure Thing,Miguel,1.0,2010.0,5.0,25.0,13801.0,19.0,950906471.0,137.0,125.0,435.0,6.0,285.0,81.0,B,Minor,68.0,51.0,60.0,3.0,0.0,19.0,10.0,High
Every Breath You Take - Remastered 2003,The Police,1.0,1983.0,1.0,6.0,22439.0,19.0,1593270737.0,211.0,74.0,929.0,0.0,129.0,117.0,C#,Major,82.0,73.0,45.0,54.0,0.0,7.0,3.0,High
The Night We Met,Lord Huron,1.0,2015.0,2.0,2.0,18515.0,35.0,1410088830.0,70.0,82.0,939.0,1.0,162.0,174.0,D,Major,45.0,10.0,37.0,97.0,25.0,64.0,4.0,High
We Found Love,"Rihanna, Calvin Harris",2.0,2011.0,1.0,1.0,36843.0,21.0,1235005533.0,321.0,91.0,4607.0,1.0,58.0,128.0,C#,Major,73.0,60.0,77.0,3.0,0.0,11.0,4.0,High
When I Was Your Man,Bruno Mars,1.0,2012.0,12.0,5.0,2420.0,11.0,1661187319.0,0.0,0.0,806.0,0.0,0.0,145.0,nan,Major,60.0,43.0,27.0,94.0,0.0,14.0,4.0,High
Let Me Down Slowly,Alec Benjamin,1.0,2018.0,5.0,25.0,5897.0,19.0,1374581173.0,0.0,0.0,885.0,0.0,0.0,150.0,C#,Minor,65.0,51.0,55.0,73.0,0.0,14.0,3.0,High
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3.0,2023.0,6.0,2.0,727.0,16.0,94186466.0,17.0,60.0,28.0,1.0,44.0,90.0,A,Minor,60.0,13.0,53.0,4.0,0.0,21.0,4.0,Low
Do I Wanna Know?,Arctic Monkeys,1.0,2013.0,1.0,1.0,33783.0,26.0,1788326445.0,133.0,92.0,2733.0,1.0,26.0,85.0,F,Major,55.0,42.0,53.0,17.0,0.0,22.0,3.0,High
Demons,Imagine Dragons,1.0,2012.0,1.0,1.0,26694.0,13.0,1840364617.0,65.0,82.0,3425.0,4.0,13.0,180.0,D#,Major,33.0,38.0,71.0,20.0,0.0,28.0,5.0,High
ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,YOASOBI,1.0,2023.0,4.0,12.0,356.0,16.0,143573775.0,35.0,102.0,8.0,1.0,117.0,166.0,C#,Major,57.0,84.0,94.0,11.0,0.0,37.0,9.0,Low
Reminder,The Weeknd,1.0,2016.0,11.0,25.0,6518.0,17.0,684675814.0,45.0,85.0,238.0,1.0,47.0,160.0,G#,Major,71.0,40.0,50.0,16.0,0.0,16.0,22.0,Average
Shake It Off,Taylor Swift,1.0,2014.0,1.0,1.0,21335.0,13.0,1113838873.0,328.0,70.0,1378.0,9.0,20.0,160.0,G,Major,65.0,95.0,80.0,5.0,0.0,41.0,16.0,High
Why'd You Only Call Me When You're High?,Arctic Monkeys,1.0,2013.0,1.0,1.0,23389.0,29.0,1267333350.0,54.0,70.0,1089.0,2.0,1.0,92.0,D,Major,70.0,81.0,63.0,4.0,0.0,8.0,4.0,High
SNAP,Rosa Linn,1.0,2022.0,3.0,19.0,3202.0,18.0,726307468.0,148.0,80.0,226.0,24.0,0.0,170.0,nan,Major,56.0,53.0,64.0,11.0,0.0,45.0,6.0,High
Shape of You,Ed Sheeran,1.0,2017.0,1.0,6.0,32181.0,10.0,3562543890.0,33.0,0.0,6808.0,7.0,0.0,96.0,C#,Minor,83.0,93.0,65.0,58.0,0.0,9.0,8.0,High
Fin de Semana,"Oscar Maydon, Junior H",2.0,2023.0,1.0,13.0,592.0,14.0,307370144.0,11.0,84.0,6.0,1.0,30.0,98.0,nan,Major,70.0,37.0,54.0,6.0,0.0,9.0,8.0,Average
Creep,Radiohead,1.0,1992.0,9.0,21.0,36724.0,7.0,1271293243.0,146.0,72.0,6807.0,5.0,80.0,92.0,G,Major,53.0,12.0,34.0,1.0,0.0,12.0,4.0,High
Car's Outside,James Arthur,1.0,2019.0,10.0,18.0,794.0,10.0,265882712.0,38.0,25.0,61.0,0.0,263.0,150.0,A,Major,34.0,24.0,56.0,4.0,0.0,11.0,3.0,Average
Apocalypse,Cigarettes After Sex,1.0,2017.0,3.0,21.0,13091.0,17.0,841749534.0,61.0,96.0,790.0,2.0,116.0,94.0,F,Major,37.0,17.0,47.0,2.0,46.0,11.0,3.0,High
Cheques,Shubh,1.0,2023.0,5.0,19.0,67.0,8.0,47956378.0,7.0,10.0,0.0,0.0,57.0,90.0,E,Minor,74.0,36.0,63.0,26.0,0.0,27.0,5.0,Low
Pink + White,Frank Ocean,1.0,2016.0,8.0,20.0,21574.0,30.0,806397070.0,112.0,68.0,266.0,1.0,39.0,160.0,A,Major,54.0,54.0,55.0,67.0,0.0,42.0,11.0,High
Circles,Post Malone,1.0,2019.0,8.0,30.0,19664.0,16.0,2132335812.0,391.0,73.0,633.0,3.0,37.0,120.0,nan,Major,70.0,59.0,75.0,24.0,0.0,9.0,4.0,High
Just The Way You Are,Bruno Mars,1.0,2010.0,1.0,1.0,21106.0,13.0,1641426668.0,82.0,0.0,2946.0,0.0,0.0,109.0,F,Major,63.0,46.0,85.0,1.0,0.0,9.0,5.0,High
Take Me To Church,Hozier,1.0,2013.0,9.0,13.0,23804.0,31.0,2135158446.0,187.0,99.0,4623.0,1.0,0.0,129.0,E,Minor,57.0,41.0,66.0,63.0,0.0,12.0,5.0,High
Bebe Dame,"Fuerza Regida, Grupo Frontera",2.0,2022.0,12.0,16.0,849.0,22.0,367316268.0,27.0,129.0,21.0,7.0,111.0,157.0,G,Major,54.0,75.0,60.0,30.0,0.0,7.0,5.0,Average
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1.0,2021.0,4.0,9.0,2619.0,12.0,350381515.0,47.0,90.0,1.0,0.0,7.0,130.0,F#,Major,63.0,49.0,73.0,5.0,0.0,9.0,3.0,Average
Titi Me Preguntï¿½,Bad Bunny,1.0,2022.0,5.0,6.0,9037.0,42.0,1264310836.0,124.0,133.0,139.0,14.0,166.0,107.0,F,Minor,65.0,19.0,72.0,10.0,0.0,13.0,25.0,High
Better Than Revenge (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,86.0,11.0,30343206.0,3.0,33.0,3.0,0.0,1.0,146.0,B,Minor,50.0,67.0,89.0,0.0,0.0,19.0,8.0,Low
Shut up My Moms Calling,Hotel Ugly,1.0,2020.0,2.0,10.0,1788.0,14.0,405136812.0,1.0,50.0,19.0,0.0,19.0,139.0,A,Minor,48.0,37.0,41.0,32.0,0.0,10.0,10.0,Average
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1.0,1968.0,7.0,1.0,15890.0,14.0,1145727611.0,71.0,37.0,653.0,0.0,167.0,116.0,nan,Major,74.0,76.0,70.0,7.0,0.0,13.0,3.0,High
Es un Secreto,Plan B,1.0,2010.0,7.0,20.0,492.0,36.0,540654286.0,4.0,3.0,19.0,0.0,0.0,95.0,F#,Minor,84.0,52.0,77.0,12.0,0.0,7.0,4.0,Average
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4.0,2023.0,6.0,8.0,773.0,33.0,57312735.0,20.0,46.0,21.0,8.0,99.0,170.0,G#,Minor,62.0,55.0,80.0,15.0,0.0,37.0,7.0,Low
Ditto,NewJeans,1.0,2022.0,12.0,19.0,1154.0,22.0,397582059.0,28.0,125.0,11.0,1.0,51.0,134.0,F#,Minor,81.0,18.0,64.0,3.0,0.0,10.0,11.0,Average
Take On Me,a-ha,1.0,1984.0,10.0,19.0,44927.0,17.0,1479115056.0,34.0,0.0,5108.0,6.0,0.0,84.0,F#,Minor,57.0,86.0,90.0,2.0,0.0,9.0,5.0,High
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4.0,2023.0,6.0,2.0,551.0,4.0,86773632.0,13.0,46.0,20.0,1.0,10.0,146.0,B,Minor,61.0,20.0,48.0,21.0,0.0,12.0,6.0,Low
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5.0,2023.0,5.0,1.0,577.0,14.0,133753727.0,22.0,18.0,15.0,1.0,0.0,74.0,A#,Minor,53.0,24.0,67.0,11.0,0.0,10.0,28.0,Low
Acrï¿½ï¿½s,Shakira,1.0,2023.0,5.0,11.0,955.0,29.0,123124076.0,37.0,50.0,79.0,11.0,31.0,144.0,B,Major,75.0,35.0,48.0,84.0,0.0,10.0,12.0,Low
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3.0,2022.0,11.0,24.0,995.0,19.0,463564958.0,12.0,117.0,9.0,5.0,3.0,136.0,B,Minor,77.0,79.0,73.0,15.0,0.0,27.0,10.0,Average
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3.0,2023.0,5.0,15.0,178.0,6.0,64533040.0,6.0,71.0,1.0,0.0,31.0,100.0,E,Major,56.0,53.0,55.0,53.0,0.0,12.0,4.0,Low
S-Class,Stray Kids,1.0,2023.0,6.0,2.0,290.0,19.0,65496046.0,9.0,101.0,5.0,0.0,73.0,105.0,F,Minor,89.0,67.0,78.0,9.0,0.0,7.0,33.0,Low
Hits Different,Taylor Swift,1.0,2023.0,5.0,26.0,547.0,0.0,68616963.0,15.0,15.0,6.0,0.0,0.0,106.0,F,Major,67.0,24.0,78.0,15.0,0.0,30.0,4.0,Low
Chanel,"Becky G, Peso Pluma",2.0,2023.0,3.0,30.0,681.0,10.0,161460990.0,15.0,92.0,21.0,2.0,26.0,132.0,D,Major,85.0,53.0,68.0,40.0,0.0,9.0,4.0,Low
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2.0,2023.0,6.0,2.0,332.0,5.0,70106975.0,18.0,41.0,5.0,0.0,19.0,120.0,A,Major,78.0,5.0,30.0,21.0,0.0,13.0,5.0,Low
Area Codes,"Kaliii, Kaliii",2.0,2023.0,3.0,17.0,1197.0,13.0,113509496.0,44.0,34.0,25.0,1.0,171.0,155.0,C#,Major,82.0,51.0,39.0,2.0,0.0,9.0,49.0,Low
Abcdario,"Junior H, Eden Muï¿½ï¿½",2.0,2023.0,5.0,13.0,262.0,5.0,89933133.0,8.0,60.0,4.0,1.0,109.0,129.0,G#,Major,70.0,42.0,43.0,78.0,0.0,11.0,3.0,Low
Obsessed,"Abhijay Sharma, Riar Saab",2.0,2022.0,9.0,29.0,161.0,6.0,71007139.0,10.0,79.0,2.0,0.0,42.0,135.0,F,Minor,80.0,85.0,74.0,62.0,0.0,8.0,9.0,Low
Piï¿½ï¿½man Deï¿½,"Semicenk, Doï¿½ï¿½u ",2.0,2023.0,6.0,2.0,185.0,3.0,43522589.0,5.0,6.0,4.0,1.0,33.0,98.0,A#,Minor,73.0,45.0,62.0,28.0,0.0,13.0,13.0,Low
FLOWER,JISOO,1.0,2023.0,3.0,31.0,839.0,18.0,232896922.0,20.0,110.0,20.0,0.0,69.0,124.0,A,Minor,84.0,64.0,39.0,3.0,0.0,11.0,4.0,Low
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3.0,2023.0,6.0,2.0,259.0,0.0,37126685.0,5.0,17.0,5.0,0.0,0.0,135.0,A,Minor,77.0,28.0,55.0,18.0,0.0,22.0,15.0,Low
Eyes Closed,Ed Sheeran,1.0,2023.0,3.0,23.0,2915.0,30.0,195576623.0,116.0,69.0,107.0,3.0,675.0,107.0,D,Major,78.0,39.0,53.0,30.0,0.0,11.0,6.0,Low
Escapism.,"RAYE, 070 Shake",2.0,2022.0,10.0,12.0,5129.0,25.0,532336353.0,116.0,84.0,114.0,18.0,348.0,96.0,D,Major,54.0,25.0,74.0,14.0,0.0,9.0,11.0,Average
La Jumpa,"Arcangel, Bad Bunny",2.0,2022.0,11.0,30.0,3794.0,34.0,538115192.0,47.0,77.0,53.0,10.0,8.0,123.0,G#,Major,71.0,58.0,70.0,30.0,0.0,32.0,19.0,Average
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2.0,2023.0,5.0,26.0,588.0,0.0,46142772.0,23.0,21.0,31.0,0.0,0.0,90.0,G#,Major,62.0,7.0,62.0,6.0,0.0,58.0,6.0,Low
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3.0,2022.0,12.0,2.0,2959.0,16.0,401036314.0,41.0,69.0,38.0,0.0,36.0,117.0,F,Minor,72.0,45.0,59.0,14.0,0.0,20.0,21.0,Average
Las Morras,"BLESSD, Peso Pluma",2.0,2023.0,4.0,4.0,291.0,8.0,127026613.0,8.0,78.0,4.0,1.0,1.0,133.0,A,Minor,78.0,90.0,84.0,31.0,0.0,7.0,4.0,Low
CHORRITO PA LAS ANIMAS,Feid,1.0,2022.0,12.0,2.0,2321.0,36.0,345031710.0,29.0,65.0,34.0,5.0,3.0,96.0,G#,Minor,74.0,61.0,83.0,11.0,0.0,35.0,6.0,Average
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2.0,2022.0,12.0,1.0,536.0,10.0,288101651.0,10.0,72.0,8.0,3.0,14.0,149.0,G#,Major,66.0,85.0,60.0,40.0,0.0,14.0,13.0,Average
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2.0,2023.0,5.0,26.0,359.0,2.0,60350538.0,1.0,0.0,9.0,0.0,0.0,110.0,F#,Minor,66.0,32.0,40.0,81.0,0.0,11.0,3.0,Low
Players,Coi Leray,1.0,2022.0,11.0,30.0,4096.0,6.0,335074782.0,118.0,48.0,143.0,0.0,240.0,105.0,F#,Major,95.0,62.0,52.0,3.0,0.0,5.0,16.0,Average
Bite Me,ENHYPEN,1.0,2023.0,5.0,22.0,349.0,69.0,76767396.0,8.0,96.0,5.0,0.0,56.0,105.0,C#,Major,80.0,69.0,78.0,28.0,0.0,11.0,14.0,Low
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2.0,2023.0,5.0,26.0,381.0,5.0,46065667.0,23.0,82.0,6.0,0.0,113.0,134.0,B,Major,76.0,61.0,58.0,6.0,0.0,16.0,3.0,Low
Normal,Feid,1.0,2022.0,7.0,8.0,2461.0,36.0,459276435.0,47.0,66.0,45.0,5.0,6.0,170.0,E,Minor,71.0,59.0,56.0,4.0,0.0,27.0,12.0,Average
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2.0,2023.0,6.0,2.0,277.0,1.0,39666245.0,1.0,20.0,5.0,0.0,1.0,81.0,F#,Major,59.0,26.0,60.0,46.0,1.0,25.0,13.0,Low
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2.0,2023.0,3.0,1.0,967.0,5.0,138517666.0,7.0,29.0,51.0,1.0,29.0,154.0,F#,Major,63.0,75.0,92.0,31.0,0.0,91.0,5.0,Low
Bad Habit,Steve Lacy,1.0,2022.0,6.0,29.0,8186.0,12.0,822633917.0,155.0,72.0,131.0,16.0,29.0,169.0,C#,Major,69.0,69.0,51.0,63.0,0.0,38.0,4.0,High
CUFF IT,Beyoncï¿½,1.0,2022.0,7.0,29.0,7842.0,10.0,595900742.0,215.0,88.0,330.0,26.0,23.0,115.0,G,Major,78.0,64.0,69.0,4.0,0.0,7.0,14.0,Average
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2.0,2023.0,6.0,5.0,215.0,6.0,51985779.0,6.0,14.0,8.0,2.0,4.0,84.0,A,Minor,43.0,14.0,74.0,1.0,0.0,19.0,8.0,Low
69,"Nicky Jam, Feid",2.0,2023.0,5.0,18.0,1134.0,22.0,57945987.0,39.0,14.0,48.0,2.0,3.0,93.0,G#,Major,79.0,58.0,62.0,11.0,0.0,11.0,23.0,Low
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2.0,2023.0,4.0,21.0,1305.0,34.0,115010040.0,29.0,26.0,43.0,5.0,44.0,91.0,G,Major,82.0,47.0,62.0,10.0,0.0,10.0,15.0,Low
Search & Rescue,Drake,1.0,2023.0,4.0,7.0,2066.0,6.0,175097833.0,58.0,70.0,43.0,0.0,182.0,142.0,A#,Minor,82.0,54.0,44.0,6.0,0.0,33.0,7.0,Low
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿½",2.0,2023.0,5.0,19.0,896.0,0.0,57089066.0,34.0,2.0,33.0,0.0,1.0,126.0,C#,Major,78.0,20.0,70.0,1.0,0.0,16.0,4.0,Low
Lavender Haze,Taylor Swift,1.0,2022.0,10.0,21.0,3763.0,8.0,488386797.0,51.0,43.0,38.0,10.0,1.0,97.0,A#,Major,73.0,10.0,44.0,26.0,0.0,16.0,8.0,Average
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5.0,2023.0,6.0,2.0,197.0,0.0,32761689.0,3.0,10.0,3.0,0.0,0.0,101.0,F,Major,92.0,59.0,51.0,41.0,51.0,26.0,8.0,Low
Efecto,Bad Bunny,1.0,2022.0,5.0,6.0,4004.0,33.0,1047480053.0,34.0,65.0,43.0,6.0,2.0,98.0,G,Minor,80.0,23.0,48.0,14.0,0.0,6.0,5.0,High
Erro Gostoso - Ao Vivo,Simone Mendes,1.0,2023.0,1.0,27.0,984.0,5.0,153454328.0,8.0,57.0,76.0,2.0,49.0,154.0,F#,Major,59.0,63.0,89.0,18.0,0.0,80.0,9.0,Low
Cupido,Tini,1.0,2023.0,2.0,14.0,1240.0,24.0,217672943.0,51.0,29.0,63.0,4.0,54.0,120.0,A,Major,91.0,63.0,58.0,52.0,0.0,31.0,22.0,Low
Just Wanna Rock,Lil Uzi Vert,1.0,2022.0,10.0,17.0,3995.0,13.0,457184829.0,72.0,27.0,47.0,0.0,0.0,150.0,B,Major,49.0,4.0,55.0,7.0,0.0,6.0,3.0,Average
Until I Found You,Stephen Sanchez,1.0,2021.0,9.0,1.0,4427.0,4.0,726434358.0,69.0,100.0,154.0,20.0,438.0,202.0,A#,Major,34.0,25.0,51.0,69.0,0.0,18.0,4.0,High
Rich Flex,"Drake, 21 Savage",2.0,2022.0,11.0,4.0,4657.0,18.0,573633020.0,84.0,84.0,42.0,0.0,23.0,153.0,B,Minor,56.0,42.0,52.0,5.0,0.0,36.0,24.0,Average
Easy On Me,Adele,1.0,2021.0,10.0,14.0,10195.0,20.0,1406111294.0,258.0,87.0,657.0,22.0,9.0,142.0,F,Major,60.0,13.0,37.0,58.0,0.0,13.0,3.0,High
